Station ID,Sample Date (mm/dd/yyyy),Plot Size (m2),Total Plot Aboveground Live Biomass (g/m2),Total Plot Aboveground Dead Biomass (g/m2),Scientific Name As Originally Observed,Common Name As Originally Observed,Scientific Name as Currently Recognized,Common Name as Currently Recognized,Live stems (N),Average Live Stem Height (cm),Standard Error Live Stem Height (cm),Average Live Stem Diameter (mm),Standard Error Live Stem Diameter (mm),Aboveground Live Biomass (g/m2),Total Carbon (mg/g),Total Nitrogen (mg/g),Total Phosphorus (mg/kg),Organization,Personnel,Comments,Latitude,Longitude
CRMS0003-BAG01,9/15/2017,0.25,361.68,88.92,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,155,36.0,4.0,4.6,0.3,361.68,430.68,8.64,899.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.09942850,-89.25290167
CRMS0003-BAG02,9/15/2017,0.25,448.72,59.44,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,208,37.2,3.6,3.8,0.2,448.72,423.47,8.34,790.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.09930213,-89.25289608
CRMS0003-BAG03,9/15/2017,0.25,533.32,15.12,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,152,48.6,4.3,5.2,0.4,533.32,425.97,6.86,717.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.09927939,-89.25273105
CRMS0030-BAG01,8/15/2017,0.25,905.76,703.04,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,58,156.7,6.0,3.8,0.4,374.60,452.35,10.05,840.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.30369025,-90.32545313
CRMS0030-BAG01,8/15/2017,0.25,905.76,703.04,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,40,137.7,4.4,26.8,2.2,435.64,441.58,28.76,2213.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.30369025,-90.32545313
CRMS0030-BAG02,8/15/2017,0.25,565.68,400.56,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,49,125.3,5.5,23.8,1.0,521.32,447.32,31.07,1906.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.40218234,-90.34961031
CRMS0030-BAG03,8/15/2017,0.25,358.32,589.68,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,43,112.7,7.7,21.6,2.4,259.20,449.53,30.46,724.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.30360490,-90.32613109
CRMS0033-BAG01,10/26/2017,0.25,1964.36,1475.36,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,167,129.9,15.7,3.6,0.2,1745.40,468.92,24.31,1551.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27712626,-90.38830713
CRMS0033-BAG01,10/26/2017,0.25,1964.36,1475.36,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,8,94.9,10.3,17.4,1.0,38.20,470.99,6.90,342.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27712626,-90.38830713
CRMS0033-BAG01,10/26/2017,0.25,1964.36,1475.36,Typha latifolia L.,broadleaf cattail,Typha latifolia L.,broadleaf cattail,3,175.7,6.0,25.0,4.4,163.24,429.84,33.62,2332.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27712626,-90.38830713
