system:index,Accretion1,Accretion_,Average_Ac,Average_He,Average__1,Average__2,Basins,Bulk_Densi,Community,Delta_Ti_1,Delta_time,Distance_1,Distance_2,Distance_3,Distance_4,Distance_t,Dry_Soil_p,Dry_Volume,Flood_Dept,Fluvial_Do,Latitude,Latitude_1,Longitude,Longitude_,Mineral_Ma,OBJECTID,Observed_P,Organic_De,Organic_Ma,Organic__1,Organic__2,Organic__3,Simple_sit,Soil_Moist,Soil_Por_1,Soil_Porew,Soil_Salin,Staff_Gaug,Total_Mass,Total_Reco,Verified_P,Wet_Soil_p,Wet_Volume,Land_Lost_m2,Land_Gained_m2,marshType,.geo
28,6.948984099,47.52250797,4.752250797,143.26,52.25,137.16,MRD,0.625,Freshwater,2.279452055,832,5038.820003,5212.379624,123164.2583,978.7357694,19087.21651,6.94,159.29,0,3.788033011,29.114984,29.114984,-89.20001071,-89.20001071,26725.47042,41,595,0.0578,2976.097062,10.02,0.1002,10.02,CRMS0154,53.325,1.2,2268,0.3,1.775,29701.56748,1300.375,594,6.95,324.29,0,239047.822,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.20001246878245,29.12398307078736],[-89.20288974127867,29.123624885211992],[-89.20553792668932,29.122578847199144],[-89.20774619080507,29.120928240569135],[-89.20933874675984,29.1188044788642],[-89.21018885048272,29.11637663694681],[-89.21022888222046,29.113837985328132],[-89.20945571392711,29.111390601376616],[-89.20793094000655,29.109229283744344],[-89.20577595873604,29.107526050487856],[-89.20316230077313,29.10641645355408],[-89.20029797714638,29.105988796775463],[-89.19741093285532,29.106277113149126],[-89.19473091965484,29.107258458455735],[-89.19247122558583,29.108854735821772],[-89.19081171004167,29.110938906549993],[-89.18988449078856,29.113345094607016],[-89.18976342105576,29.115881782880336],[-89.19045819629076,29.118347053115173],[-89.19191356421038,29.120544657939075],[-89.19401370670398,29.122299645851985],[-89.19659144984175,29.123472294279775],[-89.19944157172127,29.123969239462483],[-89.20001246878245,29.12398307078736]]]}"
29,4.766984526,51.05200239,5.105200239,154.23,83.125,155.45,MRD,0.68,Freshwater,2.145205479,783,7724.178195,10940.16973,122188.6461,3584.388275,17838.60055,6.71,175.835,0,2.309449639,29.16230341,29.16230341,-89.169996,-89.169996,31910.36041,42,584.5,0.05525,2805.001219,8.08,0.0808,8.08,CRMS0156,49.83,1.5,2914.5,0.4,1.54,34715.36163,2391.85625,274,6.515,324.29,1566.350891,109208.3077,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.16999847272055,29.171300933555354],[-89.17287707066919,29.170942747920286],[-89.17552647589109,29.169896709747],[-89.17773575698696,29.16824610290587],[-89.17932904611742,29.16612234100505],[-89.18017954090695,29.16369449896811],[-89.18021959059008,29.16115584734355],[-89.17944606583309,29.158708463501636],[-89.17792058953505,29.156547146060234],[-89.17576461594572,29.15484391301634],[-89.1731497546971,29.153734316250528],[-89.17028411251239,29.153306659542864],[-89.16739573921566,29.153594975868316],[-89.16471449221365,29.154576321022596],[-89.1624537576592,29.156172598179708],[-89.16079347773885,29.158256768707606],[-89.15986583111206,29.160662956635402],[-89.15974470513905,29.16319964489094],[-89.16043979988422,29.16566491522497],[-89.16189583775603,29.167862520234124],[-89.16399694738584,29.169617508360513],[-89.16657587785356,29.170790156963374],[-89.16942731266462,29.171287102228113],[-89.16999847272055,29.171300933555354]]]}"
0000000000000000002e,7.077220261,20.68906193,2.068906193,113.385,33.5,146.3,MRD,0.43,Freshwater,2.021917808,738,9735.412949,2034.791975,99543.17614,1078.705087,36898.51326,6.72,123.395,0,3.790133347,29.216739,29.216739,-89.42078628,-89.42078628,7979.533264,47,487,0.04525,916.7633679,10.305,0.10305,10.305,CRMS0163,62.335,2.4,4381,0.8,1,8896.296632,1240.44625,487,6.795,324.29,5478.970642,237285.1283,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.42078859939315,29.225737446910728],[-89.42366872614194,29.225379261206925],[-89.42631953831568,29.22433322284887],[-89.42852999241457,29.222682615764633],[-89.43012412720307,29.220558853638206],[-89.43097507305616,29.218131011463612],[-89.43101514343819,29.215592359832286],[-89.43024120752993,29.213144976116574],[-89.42871492109734,29.210983658894982],[-89.4265578029497,29.2092804260959],[-89.42394155380966,29.208170829523525],[-89.42107439077631,29.207743172897562],[-89.41818448458038,29.208031489167492],[-89.41550181448939,29.20901283414636],[-89.41323987982037,29.21060911106287],[-89.411578718255,29.21269328136008],[-89.41065057868803,29.215099469139073],[-89.41052938784689,29.217636157374123],[-89.41122485112109,29.220101427822403],[-89.41268166172792,29.22229903304487],[-89.41478388686988,29.224054021417093],[-89.41736418682497,29.22522667022158],[-89.42021713599443,29.225723615580783],[-89.42078859939315,29.225737446910728]]]}"
114,5.472365039,34.49520879,3.449520879,117.04,46,103.63,MRD,0.515,Freshwater,2.37260274,866,2381.55404,3599.598547,106381.1778,1209.967779,33904.54136,7.55,140.78,0,14.23630991,29.22808129,29.22808129,-89.31727194,-89.31727194,16624.51744,277,497,0.0396,1140.515088,6.42,0.0642,6.42,CRMS2608,50.43,1.1,2134,0.1,1.61,17765.03253,1097.625,497,7.095,324.29,3130.561279,30523.52002,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.31727293590818,29.237080169166344],[-89.32015338173892,29.236721983448206],[-89.32280448756319,29.235675945051632],[-89.32501518648421,29.234025337916698],[-89.32660949777339,29.231901575743244],[-89.3274605377698,29.229473733539944],[-89.32750061247201,29.226935081907197],[-89.32672659075078,29.224487698217807],[-89.32520013523178,29.22232638104204],[-89.3230427781988,29.220623148294006],[-89.32042623938636,29.219513551761963],[-89.31755875893057,29.219085895153036],[-89.31466853279709,29.219374211411388],[-89.31198556568746,29.220355556353688],[-89.30972338053773,29.22195183322003],[-89.30806203496073,29.224036003469138],[-89.30713379251029,29.226442191217107],[-89.30701258813029,29.228978879447883],[-89.30770812832172,29.23144414991998],[-89.30916510020917,29.23364175518693],[-89.31126755817412,29.235396743610412],[-89.31384814396039,29.236569392456932],[-89.31670140919759,29.23706633783583],[-89.31727293590818,29.237080169166344]]]}"
116,11.43035872,65.76949229,6.576949229,102.41,40,91.4,MRD,1.12,Freshwater,1.956164384,714,9666.432821,8070.832159,116536.3557,2817.388494,22456.79994,7.545,212.95,188.216,2.323173435,29.2320212,29.2320212,-89.18428356,-89.18428356,71492.49044,279,397,0.02935,2169.340934,2.945,0.02945,2.945,CRMS2627,28.11,0.9,1789,0.2,1.92,73661.83137,820.625,167,7.085,324.29,0,112845.5889,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.18428448643058,29.241022259075113],[-89.1871650431992,29.240664073351994],[-89.18981625111937,29.23961803494203],[-89.19202703515974,29.23796742778948],[-89.19362140781438,29.235843665599678],[-89.19447248054237,29.233415823386405],[-89.19451255674663,29.23087717175316],[-89.19373850519008,29.228429788072912],[-89.19221199088342,29.22626847091308],[-89.1900545507952,29.224565238182787],[-89.18743791126995,29.223455641664764],[-89.18457032045326,29.22302798506176],[-89.18167998308442,29.223316301316093],[-89.17899691270787,29.224297646245674],[-89.17673464047142,29.22589392309458],[-89.17507323091756,29.227978093326975],[-89.17414495269678,29.230384281064154],[-89.17402374360962,29.23292096929345],[-89.17471931054351,29.235386239773824],[-89.17617633850472,29.237583845056232],[-89.17827887741718,29.23933883349753],[-89.18085956258074,29.24051148235866],[-89.18371293770782,29.241008427744408],[-89.18428448643058,29.241022259075113]]]}"
117,10.10342827,56.96901641,5.696901641,156.05,34.5,121.92,MRD,0.835,Freshwater,3.008219178,1098,2727.699893,1872.524035,110648.7353,1872.523975,28987.16459,7.57,177.55,176.064,10.62696254,29.23105263,29.23105263,-89.25937082,-89.25937082,45074.1279,280,336,0.04435,2495.0008,5.245,0.05245,5.245,CRMS2634,41.66,1.8,3439,0.3,1.68,47569.1287,913.75,337,6.915,324.29,0,393743.9734,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.25936975774374,29.24004943223217],[-89.2622502871331,29.239691246510276],[-89.26490146985618,29.238645208103623],[-89.26711223288927,29.236994600955416],[-89.26870659039905,29.23487083876964],[-89.26955765504894,29.232442996558834],[-89.2695977308825,29.229904344925714],[-89.26882368668925,29.227456961243213],[-89.26729718689127,29.225295644079445],[-89.26513976730091,29.223592411344775],[-89.26252315263139,29.222482814823287],[-89.25965558905156,29.222055158218822],[-89.2567652791354,29.22234347447414],[-89.25408223424492,29.22332481940686],[-89.2518199835013,29.22492109626008],[-89.2501585897368,29.227005266496594],[-89.24923032034407,29.229411454236438],[-89.24910911241864,29.231948142466095],[-89.24980467275253,29.23441341294443],[-89.25126168687484,29.236611018223023],[-89.25336420580963,29.238366006659923],[-89.25594486644705,29.239538655517453],[-89.25879821445355,29.240035600901507],[-89.25936975774374,29.24004943223217]]]}"
0000000000000000013b,0,105.4523346,10.54523346,98.75,4.625,91.22,MRD,0.695,Freshwater,0.997260274,364,4475.749184,4930.730161,113706.7269,2667.377113,25972.95784,7.36,163.905,263.64,5.803041406,29.21435708,29.21435708,-89.23437822,-89.23437822,69203.49005,316,285,0.0406,4085.882521,5.575,0.05575,5.575,CRMS4448,48.585,0.8,1650,0.3,1.8,73289.37257,0,285,6.9,324.29,0,167857.7878,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.23437945607344,29.22335767678161],[-89.23725951590026,29.222999491080813],[-89.23991026648584,29.22195345273084],[-89.24212066923747,29.220302845657226],[-89.24371476700796,29.21817908354068],[-89.2445656931161,29.215751241372104],[-89.24460576259206,29.21321258974106],[-89.2438318446816,29.210765206019836],[-89.24230559371198,29.208603888788634],[-89.24014852566647,29.20690065597884],[-89.23753233728024,29.205791059398003],[-89.23466524082082,29.205363402768473],[-89.23177540172632,29.205651719040826],[-89.2290927939299,29.20663306402737],[-89.22683091179492,29.20822934095441],[-89.22516978882284,29.21031351126171],[-89.22424167083395,29.21271969904721],[-89.22412048283232,29.21525638728315],[-89.22481592997447,29.21772165772643],[-89.22627270675545,29.219919262939573],[-89.22837488306676,29.22167425130105],[-89.23095512307367,29.2228469000967],[-89.23380800595332,29.22334384545179],[-89.23437945607344,29.22335767678161]]]}"
0000000000000000002a,6.156206781,34.61792628,3.461792628,265.18,29,222.5,MRD,0.64,Intermediate,2.273972603,830,1867.835896,5069.292367,119990.3702,911.1243011,22049.22722,6.755,220.04,0,11.80469187,29.13124251,29.13124251,-89.22698348,-89.22698348,20276.68873,43,534,0.0533,1878.784095,8.48,0.0848,8.48,CRMS0157,54.14,1.2,2374.5,0.575,1.63,22155.47282,979.19625,534,6.665,324.29,7050.837708,675046.2666,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.22698303621698,29.14024313895258],[-89.22986076382587,29.13988495335671],[-89.23250936807581,29.13883891528874],[-89.23471798138593,29.137188308586207],[-89.23631078908683,29.135064546813975],[-89.2371610270879,29.132636704855514],[-89.2372010649874,29.13009805323482],[-89.23642777429725,29.127650669320953],[-89.23490275920553,29.125489351754254],[-89.23274743720847,29.123786118570795],[-89.23013336608058,29.12267652169472],[-89.22726858970852,29.12224886494048],[-89.22438108908479,29.122537181297577],[-89.2217006522413,29.12351852655187],[-89.21944060090705,29.12511480384612],[-89.2177808229036,29.127198974505525],[-89.21685345690574,29.12960516251816],[-89.21673236786204,29.13214185078537],[-89.21742725280531,29.134607121054284],[-89.21888285076238,29.13680472594182],[-89.22098332533574,29.138559713928075],[-89.22356147615989,29.139732362416],[-89.22641204885285,29.14022930762689],[-89.22698303621698,29.14024313895258]]]}"
0000000000000000002b,5.571272285,22.67857143,2.267857143,286.51,39.75,213.36,MRD,0.885,Intermediate,2.164383562,790,11978.45905,2282.033031,128870.5625,372.4258599,17528.77333,7.21,229.7,0,1.463357954,29.03791486,29.03791486,-89.19916,-89.19916,18827.16603,44,594,0.0519,1243.369688,6.195,0.06195,6.195,CRMS0159,44.235,1.4,2691,0.5,1.32,20070.53571,1549.285,594,6.82,324.29,1703.447583,258326.6623,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.19916165860543,29.046911641872846],[-89.2020367790088,29.046553456394587],[-89.20468298385273,29.045507418642742],[-89.2068895967321,29.043856812356182],[-89.20848096225454,29.041733050969935],[-89.20933043101618,29.03930520924702],[-89.20937043361717,29.036766557637918],[-89.20859784410233,29.034319173508106],[-89.20707421060858,29.03215785556531],[-89.2049208405326,29.030454621962985],[-89.20230913630365,29.029345024755937],[-89.19944695357437,29.028917367861897],[-89.19656206714437,29.029205684313993],[-89.19388405722536,29.03018702986842],[-89.1916260525573,29.03178330757433],[-89.18996777810511,29.033867478628455],[-89.18904125276467,29.0362736668957],[-89.18892027434781,29.038810355197956],[-89.18961453080547,29.0412756252714],[-89.19106881094663,29.043473229793936],[-89.19316738313381,29.04522821735957],[-89.19574319844371,29.046400865502534],[-89.19859118856007,29.04689781055178],[-89.19916165860543,29.046911641872846]]]}"
0000000000000000002c,8.850931604,32.95512787,3.295512787,315.8,37,274.32,MRD,0.36,Intermediate,1.490410959,544,13945.95781,6468.671151,114261.0741,1200.659391,20126.72921,6.425,120.39,0,1.443194471,29.29378446,29.29378446,-89.16670385,-89.16670385,10341.71459,45,513.5,0.0434,1522.131446,12.83,0.1283,12.83,CRMS0161,68.3,3.8,6880,1,0.7,11863.84603,1125.51,324,6.985,324.29,753885.3192,10167.62207,Mineral_Fluvial_Marsh,"{""type"":""Polygon"",""coordinates"":[[[-89.1667034042112,29.302782747768745],[-89.16958570193523,29.302424561967534],[-89.17223851205344,29.301378523347648],[-89.17445063187758,29.299727915918872],[-89.17604596754477,29.29760415347276],[-89.17689755393211,29.29517631110308],[-89.17693765370824,29.29263765946214],[-89.17616313394431,29.29019027592529],[-89.17463569707876,29.288028959015197],[-89.17247695359869,29.286325726563057],[-89.16985873358017,29.2852161302648],[-89.166989410862,29.284788473754624],[-89.16409732786879,29.285076789945872],[-89.16141263691692,29.28605813467615],[-89.15914899802262,29.287654411251708],[-89.15748658447563,29.289738581221997],[-89.15655774490847,29.292144768790106],[-89.1564364619518,29.294681456996123],[-89.15713244855696,29.297146727606293],[-89.15859035648802,29.299344333131085],[-89.1606941657153,29.301099321851687],[-89.16327641041342,29.302271970941884],[-89.16613151005006,29.302768916434974],[-89.1667034042112,29.302782747768745]]]}"
