Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0002-S01,,6/10/2008,0 to 4,6.11,5.48,2364,1.2,68.56,0.14,17.79,324.29,54.9,,,,0.0249,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S01,,6/10/2008,4 to 8,5.71,4.39,1962,1,57.07,0.4,9.54,324.29,137.4,,,,0.0382,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S01,,6/10/2008,8 to 12,5.42,4.5,2258,1.2,63.99,0.32,15.27,324.29,109.3,,,,0.0489,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S01,,6/10/2008,12 to 16,5.9,5.07,3073,1.6,72.04,0.3,20.18,324.29,101.2,,,,0.0605,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S01,,6/10/2008,16 to 20,6.45,5.37,3199,1.7,73.13,0.25,28.68,324.29,71.5,,,,0.0717,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S01,,6/10/2008,20 to 24,6.88,5.83,3646,1.9,74.75,0.21,27.32,324.29,64.1,,,,0.0574,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10031704,-89.7916408
CRMS0002-S02,,6/10/2008,0 to 4,6.21,4.76,2745,1.4,67.59,0.2,16.74,324.29,52.6,,,,0.0335,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
CRMS0002-S02,,6/10/2008,4 to 8,6.81,4,3023,1.6,69.34,0.3,12.39,324.29,104.4,,,,0.0372,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
CRMS0002-S02,,6/10/2008,8 to 12,6.86,5.19,3604,1.9,69.72,0.28,27.59,324.29,80.3,,,,0.0773,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
CRMS0002-S02,,6/10/2008,12 to 16,6.74,5.17,4169,2.2,69.54,0.28,23.09,324.29,69.2,,,,0.0647,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
