"Station_ID","Tide_Amp (ft)","calendar_year","min_date","max_date","90th%Upper_water_level (ft NAVD88)","10%thLower_water_level (ft NAVD88)","avg_water_level (ft NAVD88)","avg_flooding (ft)","90%thUpper_flooding (ft)","10%thLower_flooding (ft)","GEOID","std_deviation_water_level(ft NAVD88)","std_deviation_avg_flooding (ft)",
"CRMS0002-H01","0.2646283","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","1.68","0.15","0.86","0.42","1.24","-0.29","GEOID99   ","0.69","0.69",
"CRMS0002-H01","0.2593308","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.7","0.1","0.89","0.44","1.26","-0.35","GEOID99   ","0.64","0.65",
"CRMS0002-H01","0.2327211","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.5","-0.05","0.74","0.3","1.06","-0.5","GEOID99   ","0.59","0.59",
"CRMS0002-H01","0.2321538","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.45","0.06","0.75","0.31","1.01","-0.38","GEOID99   ","0.6","0.6",
"CRMS0002-H01","0.2401036","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.67","0.27","0.97","0.53","1.22","-0.17","GEOID99   ","0.64","0.64",
"CRMS0002-H01","0.2416398","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.7","0.18","0.95","0.53","1.27","-0.23","GEOID12A  ","0.58","0.58",
"CRMS0002-H01","0.2416398","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.7","0.18","0.95","0.53","1.27","-0.23","GEOID99   ","0.58","0.58",
"CRMS0002-H01","0.2311734","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.03","-0.31","0.32","-0.03","0.679","-0.661","GEOID12A  ","0.52","0.52",
"CRMS0002-H01","0.1825717","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.27","-0.26","0.49","0.14","0.914","-0.607","GEOID12A  ","0.6","0.6",
"CRMS0002-H01","0.2290649","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.45","0.05","0.75","0.4","1.095","-0.303","GEOID12A  ","0.57","0.57",
